Date,Open,High,Low,Close,Adj Close,Volume
2022-07-27,16.690001,16.690001,16.690001,16.690001,16.356041,0
2022-07-28,16.930000,16.930000,16.930000,16.930000,16.591240,0
2022-07-29,17.250000,17.250000,17.250000,17.250000,16.904837,0
2022-08-01,17.290001,17.290001,17.290001,17.290001,16.944036,0
2022-08-02,17.320000,17.320000,17.320000,17.320000,16.973434,0
2022-08-03,17.799999,17.799999,17.799999,17.799999,17.443830,0
2022-08-04,17.900000,17.900000,17.900000,17.900000,17.541828,0
2022-08-05,17.760000,17.760000,17.760000,17.760000,17.404631,0
2022-08-08,17.430000,17.430000,17.430000,17.430000,17.081234,0
2022-08-09,16.590000,16.590000,16.590000,16.590000,16.258041,0
2022-08-10,17.410000,17.410000,17.410000,17.410000,17.061634,0
2022-08-11,17.350000,17.350000,17.350000,17.350000,17.002836,0
2022-08-12,18.040001,18.040001,18.040001,18.040001,17.679029,0
2022-08-15,18.129999,18.129999,18.129999,18.129999,17.767225,0
2022-08-16,17.959999,17.959999,17.959999,17.959999,17.600628,0
2022-08-17,17.480000,17.480000,17.480000,17.480000,17.130234,0
2022-08-18,17.940001,17.940001,17.940001,17.940001,17.581030,0
2022-08-19,17.400000,17.400000,17.400000,17.400000,17.051834,0
2022-08-22,16.730000,16.730000,16.730000,16.730000,16.395239,0
2022-08-23,16.900000,16.900000,16.900000,16.900000,16.561838,0
2022-08-24,16.940001,16.940001,16.940001,16.940001,16.601040,0
2022-08-25,17.620001,17.620001,17.620001,17.620001,17.267433,0
2022-08-26,16.450001,16.450001,16.450001,16.450001,16.120844,0
2022-08-29,16.080000,16.080000,16.080000,16.080000,15.758245,0
2022-08-30,15.920000,15.920000,15.920000,15.920000,15.601448,0
2022-08-31,15.700000,15.700000,15.700000,15.700000,15.385850,0
2022-09-01,15.230000,15.230000,15.230000,15.230000,14.925254,0
2022-09-02,15.090000,15.090000,15.090000,15.090000,14.788056,0
2022-09-06,14.950000,14.950000,14.950000,14.950000,14.650857,0
2022-09-07,15.230000,15.230000,15.230000,15.230000,14.925254,0
2022-09-08,15.520000,15.520000,15.520000,15.520000,15.209453,0
2022-09-09,15.860000,15.860000,15.860000,15.860000,15.542648,0
